,number,token,if_predicate,if_argument
132,5,before,0,0
133,5,",",0,0
134,5,but,0,0
135,5,it,0,1
136,5,'s,1,0
137,5,particularly,0,0
138,5,well,0,0
139,5,-,0,0
140,5,put,1,0
141,5,in,0,1
142,5,this,0,1
143,5,post,0,1
144,5,.,0,0
145,5,This,0,0
146,5,BuzzMachine,0,0
147,5,post,0,1
148,5,argues,1,0
149,5,that,0,0
150,5,Google,0,0
151,5,'s,1,0
152,5,rush,0,1
153,5,toward,0,1
154,5,ubiquity,0,0
155,5,might,1,0
156,5,backfire,1,0
157,5,--,0,0
158,5,which,0,1
159,5,we,0,1
160,5,'ve,0,0
161,5,all,0,0
162,5,heard,1,0
163,5,before,0,0
164,5,",",0,0
165,5,but,0,0
166,5,it,0,1
167,5,'s,1,0
168,5,particularly,0,0
169,5,well,0,0
170,5,-,0,0
171,5,put,1,0
172,5,in,0,1
173,5,this,0,1
174,5,post,0,1
175,5,.,0,0
176,5,This,0,0
177,5,BuzzMachine,0,0
178,5,post,0,1
179,5,argues,1,0
180,5,that,0,0
181,5,Google,0,0
182,5,'s,1,0
183,5,rush,0,1
184,5,toward,0,1
185,5,ubiquity,0,0
186,5,might,1,0
187,5,backfire,1,0
188,5,--,0,0
189,5,which,0,1
190,5,we,0,1
191,5,'ve,0,0
192,5,all,0,0
193,5,heard,1,0
194,5,before,0,0
195,5,",",0,0
196,5,but,0,0
197,5,it,0,1
198,5,'s,1,0
199,5,particularly,0,0
200,5,well,0,0
201,5,-,0,0
202,5,put,1,0
203,5,in,0,1
204,5,this,0,1
205,5,post,0,1
206,5,.,0,0
207,5,This,0,0
208,5,BuzzMachine,0,0
209,5,post,0,1
210,5,argues,1,0
211,5,that,0,0
212,5,Google,0,0
213,5,'s,1,0
214,5,rush,0,1
215,5,toward,0,1
216,5,ubiquity,0,0
217,5,might,1,0
218,5,backfire,1,0
219,5,--,0,0
220,5,which,0,1
221,5,we,0,1
222,5,'ve,0,0
223,5,all,0,0
224,5,heard,1,0
225,5,before,0,0
226,5,",",0,0
227,5,but,0,0
228,5,it,0,1
229,5,'s,1,0
230,5,particularly,0,0
231,5,well,0,0
232,5,-,0,0
233,5,put,1,0
234,5,in,0,1
235,5,this,0,1
236,5,post,0,1
237,5,.,0,0
238,5,This,0,0
239,5,BuzzMachine,0,0
240,5,post,0,1
241,5,argues,1,0
242,5,that,0,0
243,5,Google,0,0
244,5,'s,1,0
245,5,rush,0,1
246,5,toward,0,1
247,5,ubiquity,0,0
248,5,might,1,0
249,5,backfire,1,0
250,5,--,0,0
251,5,which,0,1
252,5,we,0,1
253,5,'ve,0,0
254,5,all,0,0
255,5,heard,1,0
256,5,before,0,0
257,5,",",0,0
258,5,but,0,0
259,5,it,0,1
260,5,'s,1,0
261,5,particularly,0,0
262,5,well,0,0
263,5,-,0,0
264,5,put,1,0
265,5,in,0,1
266,5,this,0,1
267,5,post,0,1
268,5,.,0,0
269,5,This,0,0
270,5,BuzzMachine,0,0
271,5,post,0,1
272,5,argues,1,0
273,5,that,0,0
274,5,Google,0,0
275,5,'s,1,0
276,5,rush,0,1
277,5,toward,0,1
278,5,ubiquity,0,0
279,5,might,1,0
280,5,backfire,1,0
281,5,--,0,0
282,5,which,0,1
283,5,we,0,1
284,5,'ve,0,0
285,5,all,0,0
286,5,heard,1,0
287,5,before,0,0
288,5,",",0,0
289,5,but,0,0
290,5,it,0,1
291,5,'s,1,0
292,5,particularly,0,0
293,5,well,0,0
294,5,-,0,0
295,5,put,1,0
296,5,in,0,1
297,5,this,0,1
298,5,post,0,1
299,5,.,0,0
300,5,This,0,0
301,5,BuzzMachine,0,0
302,5,post,0,1
303,5,argues,1,0
304,5,that,0,0
305,5,Google,0,0
306,5,'s,1,0
307,5,rush,0,1
308,5,toward,0,1
309,5,ubiquity,0,0
310,5,might,1,0
311,5,backfire,1,0
312,5,--,0,0
313,5,which,0,1
314,5,we,0,1
315,5,'ve,0,0
316,5,all,0,0
317,5,heard,1,0
318,5,before,0,0
319,5,",",0,0
320,5,but,0,0
321,5,it,0,1
322,5,'s,1,0
323,5,particularly,0,0
324,5,well,0,0
325,5,-,0,0
326,5,put,1,0
327,5,in,0,1
328,5,this,0,1
329,5,post,0,1
330,5,.,0,0
331,5,This,0,0
332,5,BuzzMachine,0,0
333,5,post,0,1
334,5,argues,1,0
335,5,that,0,0
336,5,Google,0,0
337,5,'s,1,0
338,5,rush,0,1
339,5,toward,0,1
340,5,ubiquity,0,0
341,5,might,1,0
342,5,backfire,1,0
343,5,--,0,0
344,5,which,0,1
345,5,we,0,1
346,5,'ve,0,0
347,5,all,0,0
348,5,heard,1,0
349,5,before,0,0
350,5,",",0,0
351,5,but,0,0
352,5,it,0,1
353,5,'s,1,0
354,5,particularly,0,0
355,5,well,0,0
356,5,-,0,0
357,5,put,1,0
358,5,in,0,1
359,5,this,0,1
360,5,post,0,1
361,5,.,0,0
362,6,Google,0,0
363,6,is,1,0
364,6,a,0,1
365,6,nice,0,1
366,6,search,0,1
367,6,engine,0,1
368,6,.,0,0
369,7,Does,0,0
370,7,anybody,0,1
371,7,use,1,0
372,7,it,0,1
373,7,for,0,0
374,7,anything,0,0
375,7,else,0,0
376,7,?,0,0
377,7,Does,0,0
378,7,anybody,0,1
379,7,use,1,0
380,7,it,0,1
381,7,for,0,0
382,7,anything,0,0
383,7,else,0,0
384,7,?,0,0
385,8,They,0,0
386,8,own,1,0
387,8,blogger,0,1
388,8,",",0,0
389,8,of,0,0
390,8,course,0,0
391,8,.,0,0
392,9,Is,0,0
393,9,that,0,1
394,9,a,0,1
395,9,money,0,1
396,9,maker,0,1
397,9,?,0,0
398,10,I,0,0
399,10,'m,0,0
400,10,staying,1,0
401,10,away,0,0
402,10,from,0,0
403,10,the,0,0
404,10,stock,0,0
405,10,.,0,0
406,10,I,0,0
407,10,'m,0,0
408,10,staying,1,0
409,10,away,0,0
410,10,from,0,0
411,10,the,0,0
412,10,stock,0,0
413,10,.,0,0
414,11,I,0,0
415,11,doubt,1,0
416,11,the,0,1
417,11,very,0,1
418,11,few,0,1
419,11,who,0,1
420,11,actually,0,0
421,11,read,1,0
422,11,my,0,1
423,11,blog,0,1
424,11,have,1,0
425,11,not,0,0
426,11,come,1,0
427,11,across,0,0
428,11,this,0,0
429,11,yet,0,0
430,11,",",0,0
431,11,but,0,0
432,11,I,0,0
433,11,figured,1,0
434,11,I,0,0
435,11,would,1,0
436,11,put,1,0
437,11,it,0,1
438,11,out,0,0
439,11,there,0,0
440,11,anyways,0,0
441,11,.,0,0
442,11,I,0,0
443,11,doubt,1,0
444,11,the,0,1
445,11,very,0,1
446,11,few,0,1
447,11,who,0,1
448,11,actually,0,0
449,11,read,1,0
450,11,my,0,1
451,11,blog,0,1
452,11,have,1,0
453,11,not,0,0
454,11,come,1,0
455,11,across,0,0
456,11,this,0,0
457,11,yet,0,0
458,11,",",0,0
459,11,but,0,0
460,11,I,0,0
461,11,figured,1,0
462,11,I,0,0
463,11,would,1,0
464,11,put,1,0
465,11,it,0,1
466,11,out,0,0
467,11,there,0,0
468,11,anyways,0,0
469,11,.,0,0
470,11,I,0,0
471,11,doubt,1,0
472,11,the,0,1
473,11,very,0,1
474,11,few,0,1
475,11,who,0,1
476,11,actually,0,0
477,11,read,1,0
478,11,my,0,1
479,11,blog,0,1
480,11,have,1,0
481,11,not,0,0
482,11,come,1,0
483,11,across,0,0
484,11,this,0,0
485,11,yet,0,0
486,11,",",0,0
487,11,but,0,0
488,11,I,0,0
489,11,figured,1,0
490,11,I,0,0
491,11,would,1,0
492,11,put,1,0
493,11,it,0,1
494,11,out,0,0
495,11,there,0,0
496,11,anyways,0,0
497,11,.,0,0
498,11,I,0,0
499,11,doubt,1,0
500,11,the,0,1
501,11,very,0,1
502,11,few,0,1
503,11,who,0,1
504,11,actually,0,0
505,11,read,1,0
506,11,my,0,1
507,11,blog,0,1
508,11,have,1,0
509,11,not,0,0
510,11,come,1,0
511,11,across,0,0
512,11,this,0,0
513,11,yet,0,0
514,11,",",0,0
515,11,but,0,0
516,11,I,0,0
517,11,figured,1,0
518,11,I,0,0
519,11,would,1,0
520,11,put,1,0
521,11,it,0,1
522,11,out,0,0
523,11,there,0,0
524,11,anyways,0,0
525,11,.,0,0
526,11,I,0,0
527,11,doubt,1,0
528,11,the,0,1
529,11,very,0,1
530,11,few,0,1
531,11,who,0,1
532,11,actually,0,0
533,11,read,1,0
534,11,my,0,1
535,11,blog,0,1
536,11,have,1,0
537,11,not,0,0
538,11,come,1,0
539,11,across,0,0
540,11,this,0,0
541,11,yet,0,0
542,11,",",0,0
543,11,but,0,0
544,11,I,0,0
545,11,figured,1,0
546,11,I,0,0
547,11,would,1,0
548,11,put,1,0
549,11,it,0,1
550,11,out,0,0
551,11,there,0,0
552,11,anyways,0,0
553,11,.,0,0
554,11,I,0,0
555,11,doubt,1,0
556,11,the,0,1
557,11,very,0,1
558,11,few,0,1
559,11,who,0,1
560,11,actually,0,0
561,11,read,1,0
562,11,my,0,1
563,11,blog,0,1
564,11,have,1,0
565,11,not,0,0
566,11,come,1,0
567,11,across,0,0
568,11,this,0,0
569,11,yet,0,0
570,11,",",0,0
571,11,but,0,0
572,11,I,0,0
573,11,figured,1,0
574,11,I,0,0
575,11,would,1,0
576,11,put,1,0
577,11,it,0,1
578,11,out,0,0
579,11,there,0,0
580,11,anyways,0,0
581,11,.,0,0
582,12,John,0,0
583,12,Donovan,0,0
584,12,from,0,1
585,12,Argghhh!,0,0
586,12,has,1,0
587,12,put,1,0
588,12,out,0,0
589,12,a,1,0
590,12,excellent,0,1
591,12,slide,0,1
592,12,show,0,1
593,12,on,0,1
594,12,what,0,1
595,12,was,1,0
596,12,actually,0,0
597,12,found,1,0
598,12,and,0,0
599,12,fought,1,0
600,12,for,0,0
601,12,in,0,0
602,12,Fallujah,0,0
603,12,.,0,0
604,12,John,0,0
605,12,Donovan,0,0
606,12,from,0,1
607,12,Argghhh!,0,0
608,12,has,1,0
609,12,put,1,0
610,12,out,0,0
611,12,a,1,0
612,12,excellent,0,1
613,12,slide,0,1
614,12,show,0,1
615,12,on,0,1
616,12,what,0,1
617,12,was,1,0
618,12,actually,0,0
619,12,found,1,0
620,12,and,0,0
621,12,fought,1,0
622,12,for,0,0
623,12,in,0,0
624,12,Fallujah,0,0
625,12,.,0,0
626,12,John,0,0
627,12,Donovan,0,0
628,12,from,0,1
629,12,Argghhh!,0,0
630,12,has,1,0
631,12,put,1,0
632,12,out,0,0
633,12,a,1,0
634,12,excellent,0,1
635,12,slide,0,1
636,12,show,0,1
637,12,on,0,1
638,12,what,0,1
639,12,was,1,0
640,12,actually,0,0
641,12,found,1,0
642,12,and,0,0
643,12,fought,1,0
644,12,for,0,0
645,12,in,0,0
646,12,Fallujah,0,0
647,12,.,0,0
648,12,John,0,0
649,12,Donovan,0,0
650,12,from,0,1
651,12,Argghhh!,0,0
652,12,has,1,0
653,12,put,1,0
654,12,out,0,0
655,12,a,1,0
656,12,excellent,0,1
657,12,slide,0,1
658,12,show,0,1
659,12,on,0,1
660,12,what,0,1
661,12,was,1,0
662,12,actually,0,0
663,12,found,1,0
664,12,and,0,0
665,12,fought,1,0
666,12,for,0,0
667,12,in,0,0
668,12,Fallujah,0,0
669,12,.,0,0
670,12,John,0,0
671,12,Donovan,0,0
672,12,from,0,1
673,12,Argghhh!,0,0
674,12,has,1,0
675,12,put,1,0
676,12,out,0,0
677,12,a,1,0
678,12,excellent,0,1
679,12,slide,0,1
680,12,show,0,1
681,12,on,0,1
682,12,what,0,1
683,12,was,1,0
684,12,actually,0,0
685,12,found,1,0
686,12,and,0,0
687,12,fought,1,0
688,12,for,0,0
689,12,in,0,0
690,12,Fallujah,0,0
691,12,.,0,0
692,12,John,0,0
693,12,Donovan,0,0
694,12,from,0,1
695,12,Argghhh!,0,0
696,12,has,1,0
697,12,put,1,0
698,12,out,0,0
699,12,a,1,0
700,12,excellent,0,1
701,12,slide,0,1
702,12,show,0,1
703,12,on,0,1
704,12,what,0,1
705,12,was,1,0
706,12,actually,0,0
707,12,found,1,0
708,12,and,0,0
709,12,fought,1,0
710,12,for,0,0
711,12,in,0,0
712,12,Fallujah,0,0
713,12,.,0,0
714,13,Click,0,0
715,13,here,0,0
716,13,To,0,0
717,13,view,1,0
718,13,it,0,1
719,13,.,0,0
720,13,Click,0,0
721,13,here,0,0
722,13,To,0,0
723,13,view,1,0
724,13,it,0,1
725,13,.,0,0
726,14,He,0,0
727,14,makes,1,0
728,14,some,0,1
729,14,good,0,1
730,14,observations,0,1
731,14,on,0,1
732,14,a,1,0
733,14,few,0,0
734,14,of,0,0
735,14,the,0,0
736,14,pic's,0,0
737,14,.,0,0
738,14,He,0,0
739,14,makes,1,0
740,14,some,0,1
741,14,good,0,1
742,14,observations,0,1
743,14,on,0,1
744,14,a,1,0
745,14,few,0,0
746,14,of,0,0
747,14,the,0,0
748,14,pic's,0,0
749,14,.,0,0
750,15,One,0,0
751,15,of,0,1
752,15,the,0,0
753,15,pictures,0,0
754,15,shows,1,0
755,15,a,1,0
756,15,flag,0,1
757,15,that,0,1
758,15,was,1,0
759,15,found,1,0
760,15,in,0,0
761,15,Fallujah,0,0
762,15,.,0,0
763,15,One,0,0
764,15,of,0,1
765,15,the,0,0
766,15,pictures,0,0
767,15,shows,1,0
768,15,a,1,0
769,15,flag,0,1
770,15,that,0,1
771,15,was,1,0
772,15,found,1,0
773,15,in,0,0
774,15,Fallujah,0,0
775,15,.,0,0
776,15,One,0,0
777,15,of,0,1
778,15,the,0,0
779,15,pictures,0,0
780,15,shows,1,0
781,15,a,1,0
782,15,flag,0,1
783,15,that,0,1
784,15,was,1,0
785,15,found,1,0
786,15,in,0,0
787,15,Fallujah,0,0
788,15,.,0,0
789,16,On,0,0
790,16,the,0,0
791,16,next,0,0
792,16,two,0,0
793,16,pictures,0,0
794,16,he,1,0
795,16,took,1,0
796,16,screenshots,0,1
797,16,of,0,1
798,16,two,0,0
799,16,beheading,1,0
800,16,video's,0,0
801,16,.,0,0
802,16,On,0,0
803,16,the,0,0
804,16,next,0,0
805,16,two,0,0
806,16,pictures,0,0
807,16,he,1,0
808,16,took,1,0
809,16,screenshots,0,1
810,16,of,0,1
811,16,two,0,0
812,16,beheading,1,0
813,16,video's,0,0
814,16,.,0,0
815,17,Compare,0,0
816,17,the,0,1
817,17,flags,0,1
818,17,to,0,0
819,17,the,0,1
820,17,Fallujah,0,0
821,17,one,0,0
822,17,.,0,0
823,18,You,0,0
824,18,have,1,0
825,18,to,0,0
826,18,see,1,0
827,18,these,0,1
828,18,slides,0,1
829,18,....,0,0
830,18,they,0,1
831,18,are,1,0
832,18,amazing,0,0
833,18,.,0,0
834,18,You,0,0
835,18,have,1,0
836,18,to,0,0
837,18,see,1,0
838,18,these,0,1
839,18,slides,0,1
840,18,....,0,0
841,18,they,0,1
842,18,are,1,0
843,18,amazing,0,0
844,18,.,0,0
845,18,You,0,0
846,18,have,1,0
847,18,to,0,0
848,18,see,1,0
849,18,these,0,1
850,18,slides,0,1
851,18,....,0,0
852,18,they,0,1
853,18,are,1,0
854,18,amazing,0,0
855,18,.,0,0
856,18,You,0,0
857,18,have,1,0
858,18,to,0,0
859,18,see,1,0
860,18,these,0,1
861,18,slides,0,1
862,18,....,0,0
863,18,they,0,1
864,18,are,1,0
865,18,amazing,0,0
866,18,.,0,0
867,19,This,0,0
868,19,Fallujah,0,0
869,19,operation,0,1
870,19,my,0,1
871,19,turn,0,1
872,19,out,0,1
873,19,to,0,0
874,19,be,1,0
875,19,the,0,1
876,19,most,0,0
877,19,important,0,1
878,19,operation,0,1
879,19,done,1,0
880,19,by,0,1
881,19,the,0,1
882,19,US,0,0
883,19,Military,0,0
884,19,since,0,0
885,19,the,0,1
886,19,end,0,0
887,19,of,0,0
888,19,the,0,1
889,19,war,0,0
890,19,.,0,0
891,19,This,0,0
892,19,Fallujah,0,0
893,19,operation,0,1
894,19,my,0,1
895,19,turn,0,1
896,19,out,0,1
897,19,to,0,0
898,19,be,1,0
899,19,the,0,1
900,19,most,0,0
901,19,important,0,1
902,19,operation,0,1
903,19,done,1,0
904,19,by,0,1
905,19,the,0,1
906,19,US,0,0
907,19,Military,0,0
908,19,since,0,0
909,19,the,0,1
910,19,end,0,0
911,19,of,0,0
912,19,the,0,1
913,19,war,0,0
914,19,.,0,0
915,19,This,0,0
916,19,Fallujah,0,0
917,19,operation,0,1
918,19,my,0,1
919,19,turn,0,1
920,19,out,0,1
921,19,to,0,0
922,19,be,1,0
923,19,the,0,1
924,19,most,0,0
925,19,important,0,1
926,19,operation,0,1
927,19,done,1,0
928,19,by,0,1
929,19,the,0,1
930,19,US,0,0
931,19,Military,0,0
932,19,since,0,0
933,19,the,0,1
934,19,end,0,0
935,19,of,0,0
936,19,the,0,1
937,19,war,0,0
938,19,.,0,0
939,19,This,0,0
940,19,Fallujah,0,0
941,19,operation,0,1
942,19,my,0,1
943,19,turn,0,1
944,19,out,0,1
945,19,to,0,0
946,19,be,1,0
947,19,the,0,1
948,19,most,0,0
949,19,important,0,1
950,19,operation,0,1
951,19,done,1,0
952,19,by,0,1
953,19,the,0,1
954,19,US,0,0
955,19,Military,0,0
956,19,since,0,0
957,19,the,0,1
958,19,end,0,0
959,19,of,0,0
960,19,the,0,1
961,19,war,0,0
962,19,.,0,0
963,19,This,0,0
964,19,Fallujah,0,0
965,19,operation,0,1
966,19,my,0,1
967,19,turn,0,1
968,19,out,0,1
969,19,to,0,0
970,19,be,1,0
971,19,the,0,1
972,19,most,0,0
973,19,important,0,1
974,19,operation,0,1
975,19,done,1,0
976,19,by,0,1
977,19,the,0,1
978,19,US,0,0
979,19,Military,0,0
980,19,since,0,0
981,19,the,0,1
982,19,end,0,0
983,19,of,0,0
984,19,the,0,1
985,19,war,0,0
986,19,.,0,0
987,19,This,0,0
988,19,Fallujah,0,0
989,19,operation,0,1
990,19,my,0,1
991,19,turn,0,1
992,19,out,0,1
993,19,to,0,0
994,19,be,1,0
995,19,the,0,1
996,19,most,0,0
997,19,important,0,1
998,19,operation,0,1
999,19,done,1,0
1000,19,by,0,1
1001,19,the,0,1
1002,19,US,0,0
1003,19,Military,0,0
1004,19,since,0,0
1005,19,the,0,1
1006,19,end,0,0
1007,19,of,0,0
1008,19,the,0,1
1009,19,war,0,0
1010,19,.,0,0
1011,19,This,0,0
1012,19,Fallujah,0,0
1013,19,operation,0,1
1014,19,my,0,1
1015,19,turn,0,1
1016,19,out,0,1
1017,19,to,0,0
1018,19,be,1,0
1019,19,the,0,1
1020,19,most,0,0
1021,19,important,0,1
1022,19,operation,0,1
1023,19,done,1,0
1024,19,by,0,1
1025,19,the,0,1
1026,19,US,0,0
1027,19,Military,0,0
1028,19,since,0,0
1029,19,the,0,1
1030,19,end,0,0
1031,19,of,0,0
1032,19,the,0,1
1033,19,war,0,0
1034,19,.,0,0
1035,20,Let,0,0
1036,20,me,0,1
1037,20,join,1,0
1038,20,the,0,1
1039,20,chorus,0,1
1040,20,of,0,1
1041,20,annoyance,0,0
1042,20,over,0,1
1043,20,Google,0,0
1044,20,'s,0,0
1045,20,new,0,1
1046,20,toolbar,0,0
1047,20,",",0,0
1048,20,which,0,1
1049,20,",",0,0
1050,20,as,0,0
1051,20,noted,1,0
1052,20,in,1,0
1053,20,the,0,1
1054,20,linked,1,0
1055,20,article,0,0
1056,20,",",0,0
1057,20,commits,1,0
1058,20,just,0,0
1059,20,about,0,0
1060,20,every,0,1
1061,20,sin,0,1
1062,20,an,0,1
1063,20,online,0,1
1064,20,marketer,0,1
1065,20,could,1,0
1066,20,commit,1,0
1067,20,",",0,0
1068,20,and,0,0
1069,20,makes,1,0
1070,20,up,0,0
1071,20,a,1,0
1072,20,few,0,1
1073,20,new,0,1
1074,20,ones,0,1
1075,20,besides,0,0
1076,20,.,0,0
1077,20,Let,0,0
1078,20,me,0,1
1079,20,join,1,0
1080,20,the,0,1
1081,20,chorus,0,1
1082,20,of,0,1
1083,20,annoyance,0,0
1084,20,over,0,1
1085,20,Google,0,0
1086,20,'s,0,0
1087,20,new,0,1
1088,20,toolbar,0,0
1089,20,",",0,0
1090,20,which,0,1
1091,20,",",0,0
1092,20,as,0,0
1093,20,noted,1,0
1094,20,in,1,0
1095,20,the,0,1
1096,20,linked,1,0
1097,20,article,0,0
1098,20,",",0,0
1099,20,commits,1,0
1100,20,just,0,0
1101,20,about,0,0
1102,20,every,0,1
1103,20,sin,0,1
1104,20,an,0,1
1105,20,online,0,1
1106,20,marketer,0,1
1107,20,could,1,0
1108,20,commit,1,0
1109,20,",",0,0
1110,20,and,0,0
1111,20,makes,1,0
1112,20,up,0,0
1113,20,a,1,0
1114,20,few,0,1
1115,20,new,0,1
1116,20,ones,0,1
1117,20,besides,0,0
1118,20,.,0,0
1119,20,Let,0,0
1120,20,me,0,1
1121,20,join,1,0
1122,20,the,0,1
1123,20,chorus,0,1
1124,20,of,0,1
1125,20,annoyance,0,0
1126,20,over,0,1
1127,20,Google,0,0
1128,20,'s,0,0
1129,20,new,0,1
1130,20,toolbar,0,0
1131,20,",",0,0
1132,20,which,0,1
1133,20,",",0,0
1134,20,as,0,0
1135,20,noted,1,0
1136,20,in,1,0
1137,20,the,0,1
1138,20,linked,1,0
1139,20,article,0,0
1140,20,",",0,0
1141,20,commits,1,0
1142,20,just,0,0
1143,20,about,0,0
1144,20,every,0,1
1145,20,sin,0,1
1146,20,an,0,1
1147,20,online,0,1
1148,20,marketer,0,1
1149,20,could,1,0
1150,20,commit,1,0
1151,20,",",0,0
1152,20,and,0,0
1153,20,makes,1,0
1154,20,up,0,0
1155,20,a,1,0
1156,20,few,0,1
1157,20,new,0,1
1158,20,ones,0,1
1159,20,besides,0,0
1160,20,.,0,0
1161,20,Let,0,0
1162,20,me,0,1
1163,20,join,1,0
1164,20,the,0,1
1165,20,chorus,0,1
1166,20,of,0,1
1167,20,annoyance,0,0
1168,20,over,0,1
1169,20,Google,0,0
1170,20,'s,0,0
1171,20,new,0,1
1172,20,toolbar,0,0
1173,20,",",0,0
1174,20,which,0,1
1175,20,",",0,0
1176,20,as,0,0
1177,20,noted,1,0
1178,20,in,1,0
1179,20,the,0,1
1180,20,linked,1,0
1181,20,article,0,0
1182,20,",",0,0
1183,20,commits,1,0
1184,20,just,0,0
1185,20,about,0,0
1186,20,every,0,1
1187,20,sin,0,1
1188,20,an,0,1
1189,20,online,0,1
1190,20,marketer,0,1
1191,20,could,1,0
1192,20,commit,1,0
1193,20,",",0,0
1194,20,and,0,0
1195,20,makes,1,0
1196,20,up,0,0
1197,20,a,1,0
1198,20,few,0,1
1199,20,new,0,1
1200,20,ones,0,1
1201,20,besides,0,0
1202,20,.,0,0
1203,20,Let,0,0
1204,20,me,0,1
1205,20,join,1,0
1206,20,the,0,1
1207,20,chorus,0,1
1208,20,of,0,1
1209,20,annoyance,0,0
1210,20,over,0,1
1211,20,Google,0,0
1212,20,'s,0,0
1213,20,new,0,1
1214,20,toolbar,0,0
1215,20,",",0,0
1216,20,which,0,1
1217,20,",",0,0
1218,20,as,0,0
1219,20,noted,1,0
1220,20,in,1,0
1221,20,the,0,1
1222,20,linked,1,0
1223,20,article,0,0
1224,20,",",0,0
1225,20,commits,1,0
1226,20,just,0,0
1227,20,about,0,0
1228,20,every,0,1
1229,20,sin,0,1
1230,20,an,0,1
1231,20,online,0,1
1232,20,marketer,0,1
1233,20,could,1,0
1234,20,commit,1,0
1235,20,",",0,0
1236,20,and,0,0
1237,20,makes,1,0
1238,20,up,0,0
1239,20,a,1,0
1240,20,few,0,1
1241,20,new,0,1
1242,20,ones,0,1
1243,20,besides,0,0
1244,20,.,0,0
1245,20,Let,0,0
1246,20,me,0,1
1247,20,join,1,0
1248,20,the,0,1
1249,20,chorus,0,1
1250,20,of,0,1
1251,20,annoyance,0,0
1252,20,over,0,1
1253,20,Google,0,0
1254,20,'s,0,0
1255,20,new,0,1
1256,20,toolbar,0,0
1257,20,",",0,0
1258,20,which,0,1
1259,20,",",0,0
1260,20,as,0,0
1261,20,noted,1,0
1262,20,in,1,0
1263,20,the,0,1
1264,20,linked,1,0
1265,20,article,0,0
1266,20,",",0,0
1267,20,commits,1,0
1268,20,just,0,0
1269,20,about,0,0
1270,20,every,0,1
1271,20,sin,0,1
1272,20,an,0,1
1273,20,online,0,1
1274,20,marketer,0,1
1275,20,could,1,0
1276,20,commit,1,0
1277,20,",",0,0
1278,20,and,0,0
1279,20,makes,1,0
1280,20,up,0,0
1281,20,a,1,0
1282,20,few,0,1
1283,20,new,0,1
1284,20,ones,0,1
1285,20,besides,0,0
1286,20,.,0,0
1287,20,Let,0,0
1288,20,me,0,1
1289,20,join,1,0
1290,20,the,0,1
1291,20,chorus,0,1
1292,20,of,0,1
1293,20,annoyance,0,0
1294,20,over,0,1
1295,20,Google,0,0
1296,20,'s,0,0
1297,20,new,0,1
1298,20,toolbar,0,0
1299,20,",",0,0
