,number,token
178,8,find
179,8,the
180,8,news
181,8,that
182,8,the
183,8,Baathists
184,8,continue
185,8,to
186,8,penetrate
187,8,the
188,8,Iraqi
189,8,government
190,8,very
191,8,hopeful
192,8,.
193,9,It
194,9,reminds
195,9,me
196,9,too
197,9,much
198,9,of
199,9,the
200,9,ARVN
201,9,officers
202,9,who
203,9,were
204,9,secretly
205,9,working
206,9,for
207,9,the
208,9,other
209,9,side
210,9,in
211,9,Vietnam
212,9,.
213,10,Al
214,10,-
215,10,Zaman
216,10,:
217,10,Guerrillas
218,10,killed
219,10,a
220,10,member
221,10,of
222,10,the
223,10,Kurdistan
224,10,Democratic
225,10,Party
226,10,after
227,10,kidnapping
228,10,him
229,10,in
230,10,Mosul
231,10,.
232,11,The
233,11,police
234,11,commander
235,11,of
236,11,Ninevah
237,11,Province
238,11,announced
239,11,that
240,11,bombings
241,11,had
242,11,declined
243,11,80
244,11,percent
245,11,in
246,11,Mosul
247,11,","
248,11,whereas
249,11,there
250,11,had
251,11,been
252,11,a
253,11,big
254,11,jump
255,11,in
256,11,the
257,11,number
258,11,of
259,11,kidnappings
260,11,.
261,12,On
262,12,Wednesday
263,12,guerrillas
264,12,had
265,12,kidnapped
266,12,a
267,12,cosmetic
268,12,surgeon
269,12,and
270,12,his
271,12,wife
272,12,while
273,12,they
274,12,were
275,12,on
276,12,their
277,12,way
278,12,home
279,12,.
280,13,In
281,13,Suwayrah
282,13,","
283,13,Kut
284,13,Province
285,13,","
286,13,two
287,13,car
288,13,bombs
289,13,were
290,13,discovered
291,13,before
292,13,they
293,13,could
294,13,be
295,13,detonated
296,13,.
297,14,(
298,14,Kut
299,14,is
300,14,in
301,14,southeastern
302,14,Iraq
303,14,and
304,14,has
305,14,an
306,14,overwhelmingly
307,14,Shiite
308,14,population
309,14,","
310,14,who
311,14,are
312,14,on
313,14,the
314,14,lookout
315,14,for
316,14,Baathist
317,14,saboteurs
318,14,and
319,14,willingly
320,14,turn
321,14,them
322,14,in
323,14,.
324,15,This
325,15,willingness
326,15,is
327,15,the
328,15,main
329,15,difference
330,15,in
331,15,the
332,15,number
333,15,of
334,15,bombings
335,15,in
336,15,the
337,15,south
338,15,as
339,15,opposed
340,15,to
341,15,the
342,15,center
343,15,-
344,15,north
345,15,of
346,15,the
347,15,country
348,15,.
349,15,)
350,16,In
351,16,Baghdad
352,16,Kadhim
353,16,Talal
354,16,Husain
355,16,","
356,16,assistant
357,16,dean
358,16,at
359,16,the
360,16,School
361,16,of
362,16,Education
363,16,at
364,16,Mustansiriyah
365,16,University
366,16,","
367,16,was
368,16,assassinated
369,16,with
370,16,his
371,16,driver
372,16,in
373,16,the
374,16,Salikh
375,16,district
376,16,.
377,17,Guerrillas
378,17,killed
379,17,an
380,17,engineer
381,17,","
382,17,Asi
383,17,Ali
384,17,","
385,17,from
386,17,Tikrit
387,17,.
388,18,They
389,18,also
390,18,killed
391,18,Shaikh
392,18,Hamid
393,18,'
394,18,Akkab
395,18,","
396,18,a
397,18,clan
398,18,elder
399,18,of
400,18,a
401,18,branch
402,18,of
403,18,the
404,18,Dulaim
405,18,tribe
406,18,in
407,18,Tikrit
408,18,.
409,19,His
410,19,mother
411,19,was
412,19,also
413,19,killed
414,19,in
415,19,the
416,19,attack
417,19,.
418,20,Two
419,20,other
420,20,Dulaim
421,20,leaders
422,20,have
423,20,been
424,20,killed
425,20,in
426,20,the
427,20,past
428,20,week
429,20,and
430,20,a
431,20,half
432,20,.
433,21,Guerrillas
434,21,near
435,21,Hawijah
436,21,launched
437,21,an
438,21,attack
439,21,that
440,21,left
441,21,6
442,21,dead
443,21,","
444,21,including
445,21,4
446,21,Iraqi
447,21,soldiers
448,21,.
449,22,One
450,22,of
451,22,them
452,22,was
453,22,from
454,22,the
455,22,Jubur
456,22,tribe
457,22,and
458,22,was
459,22,deputy
460,22,commander
461,22,of
462,22,the
463,22,Hawijah
464,22,garrison
465,22,.
466,23,Two
467,23,hundred
468,23,members
469,23,of
470,23,the
471,23,Batawi
472,23,clan
473,23,of
474,23,the
475,23,Dulaim
476,23,demonstrated
477,23,in
478,23,Baghdad
479,23,on
480,23,Friday
481,23,","
482,23,protesting
483,23,the
484,23,killing
485,23,of
486,23,their
487,23,clan
488,23,elder
489,23,","
490,23,Shaikh
491,23,Kadhim
492,23,Sarhid
493,23,and
494,23,4
495,23,of
496,23,his
497,23,sons
498,23,","
499,23,by
500,23,gunmen
501,23,wearing
502,23,Iraqi
503,23,army
504,23,uniforms
505,23,.
506,24,(
507,24,This
508,24,is
509,24,a
510,24,largely
511,24,Sunni
512,24,Arab
513,24,clan
514,24,","
515,24,and
516,24,some
517,24,Sunni
518,24,observers
519,24,have
520,24,accused
521,24,Shiite
522,24,elements
523,24,in
524,24,the
525,24,government
526,24,of
527,24,being
528,24,behind
529,24,the
530,24,assassination
531,24,;
532,24,it
533,24,is
534,24,more
535,24,likely
536,24,the
537,24,work
538,24,of
539,24,Sunni
540,24,Arab
541,24,guerrillas
542,24,punishing
543,24,the
544,24,Batawi
545,24,leaders
546,24,for
547,24,cooperating
548,24,with
549,24,the
550,24,Dec.
551,24,15
552,24,elections
553,24,.
554,24,)
555,25,Al
556,25,-
557,25,Zaman
558,25,:
559,25,The
560,25,Iraqi
561,25,High
562,25,Electoral
563,25,Commission
564,25,on
565,25,Friday
566,25,denied
567,25,a
568,25,request
569,25,of
570,25,the
571,25,Debaathification
572,25,Commission
573,25,to
574,25,exclude
575,25,51
576,25,individuals
577,25,from
578,25,running
579,25,on
580,25,party
581,25,lists
582,25,in
583,25,the
584,25,Dec.
585,25,15
586,25,elections
587,25,on
588,25,grounds
589,25,of
590,25,having
591,25,been
592,25,sufficiently
593,25,involved
594,25,in
595,25,Baath
596,25,activities
597,25,to
598,25,warrant
599,25,their
600,25,being
601,25,excluded
602,25,from
603,25,civil
604,25,office
605,25,.
606,26,The
607,26,Commission
608,26,said
609,26,it
610,26,had
611,26,no
612,26,legal
613,26,grounds
614,26,for
615,26,such
616,26,an
617,26,exclusion
618,26,.
619,27,This
620,27,item
621,27,is
622,27,a
623,27,small
624,27,one
625,27,and
626,27,easily
627,27,missed
628,27,.
629,28,But
630,28,in
631,28,my
632,28,view
633,28,it
634,28,is
635,28,highly
636,28,significant
637,28,.
638,29,The
639,29,Debaathification
640,29,Commission
641,29,had
642,29,been
643,29,pushed
644,29,by
645,29,Ahmad
646,29,Chalabi
647,29,and
648,29,his
649,29,Iraqi
650,29,National
651,29,Congress
652,29,very
653,29,hard
654,29,","
655,29,and
656,29,had
657,29,pushed
658,29,many
659,29,Sunni
660,29,Arabs
661,29,into
662,29,the
663,29,arms
664,29,of
665,29,the
666,29,guerrillas
667,29,.
668,30,Chalabi
669,30,has
670,30,been
671,30,increasingly
672,30,marginalized
673,30,within
674,30,Iraq
675,30,","
676,30,however
677,30,","
678,30,despite
679,30,his
680,30,ties
681,30,of
682,30,clientelage
683,30,with
684,30,Washington
685,30,and
686,30,Tehran
687,30,.
688,31,He
689,31,is
690,31,no
691,31,longer
692,31,in
693,31,the
694,31,dominant
695,31,Shiite
696,31,list
697,31,","
698,31,the
699,31,United
700,31,Iraqi
701,31,Alliance
702,31,","
703,31,and
704,31,wo
705,31,n't
706,31,have
707,31,many
708,31,seats
709,31,in
710,31,the
711,31,new
712,31,parliament
713,31,.
714,32,Some
715,32,"2,000"
716,32,junior
717,32,officers
718,32,of
719,32,the
720,32,old
721,32,Baath
722,32,army
723,32,have
724,32,been
725,32,recalled
726,32,to
727,32,duty
728,32,in
729,32,recent
730,32,months
731,32,","
732,32,something
733,32,Chalabi
734,32,would
735,32,have
736,32,blocked
737,32,if
738,32,he
739,32,could
740,32,have
741,32,.
742,33,Now
743,33,the
744,33,Electoral
745,33,Commission
746,33,is
747,33,refusing
748,33,to
749,33,punish
750,33,people
751,33,for
752,33,mere
753,33,past
754,33,Baath
755,33,Party
756,33,membership
757,33,.
758,34,The
759,34,situation
760,34,in
761,34,Iraq
762,34,is
763,34,only
764,34,going
765,34,to
766,34,get
767,34,better
768,34,this
769,34,way
770,34,.
771,35,If
772,35,someone
773,35,committed
774,35,a
775,35,crime
776,35,against
777,35,humanity
778,35,","
779,35,prosecute
780,35,the
781,35,person
782,35,.
783,36,If
784,36,he
785,36,or
786,36,she
787,36,did
788,36,not
789,36,","
790,36,then
791,36,they
792,36,should
793,36,have
794,36,all
795,36,the
796,36,same
797,36,rights
798,36,as
799,36,other
800,36,Iraqis
801,36,.
802,37,Al
803,37,-
804,37,Sharq
805,37,al
806,37,-
807,37,Awsat
808,37,reports
809,37,that
810,37,a
811,37,key
812,37,eyewitness
813,37,in
814,37,the
815,37,trial
816,37,of
817,37,Saddam
818,37,Hussein
819,37,for
820,37,a
821,37,1982
822,37,massacre
823,37,at
824,37,Dujail
825,37,has
826,37,died
827,37,.
828,38,A
829,38,team
830,38,from
831,38,the
832,38,court
833,38,managed
834,38,to
835,38,take
836,38,his
837,38,deposition
838,38,before
839,38,he
840,38,died
841,38,.
842,39,The
843,39,trial
844,39,begins
845,39,again
846,39,Nov.28
847,39,.
848,40,In
849,40,Baghdad
850,40,the
851,40,fighting
852,40,still
853,40,continues
854,40,in
855,40,several
856,40,areas
857,40,","
858,40,mostly
859,40,in
860,40,Sadr
861,40,city
862,40,and
863,40,Adhamiya
864,40,.
865,41,Baghdadis
866,41,do
867,41,n't
868,41,venture
869,41,much
870,41,out
871,41,of
872,41,their
873,41,neighbourhoods
874,41,any
875,41,more
876,41,","
877,41,you
878,41,never
879,41,know
880,41,where
881,41,you
882,41,might
883,41,get
884,41,stuck
885,41,.
886,42,There
887,42,has
888,42,been
889,42,talk
890,42,that
891,42,the
892,42,night
893,42,curfew
894,42,might
895,42,be
896,42,implemented
897,42,again
898,42,.
899,43,My
900,43,neighbourhood
901,43,has
902,43,been
903,43,surrounded
904,43,by
905,43,American
906,43,troops
907,43,for
908,43,three
909,43,days
910,43,now
911,43,","
912,43,helicopters
913,43,have
914,43,been
915,43,circling
916,43,over
917,43,our
918,43,heads
919,43,non
920,43,-
921,43,stop
922,43,.
923,44,Fedayeen
924,44,are
925,44,now
926,44,visible
927,44,on
928,44,the
929,44,street
930,44,and
931,44,they
932,44,have
933,44,become
934,44,bolder
935,44,than
936,44,ever
937,44,.
938,45,Yesterday
939,45,there
940,45,were
941,45,tens
942,45,of
943,45,them
944,45,putting
945,45,road
946,45,blocks
947,45,on
948,45,our
949,45,street
950,45,and
951,45,setting
952,45,up
953,45,mortars
954,45,","
955,45,they
956,45,only
957,45,come
958,45,out
959,45,in
960,45,the
961,45,open
962,45,when
963,45,Americans
964,45,leave
965,45,the
966,45,area
967,45,","
968,45,then
969,45,they
970,45,start
971,45,firing
972,45,mortars
973,45,indiscriminately
974,45,and
975,45,shooting
976,45,their
977,45,AK-47
978,45,'s
979,45,in
980,45,the
981,45,air
982,45,.
983,46,They
984,46,are
985,46,setting
986,46,the
987,46,road
988,46,blocks
989,46,at
990,46,the
991,46,exact
992,46,same
993,46,positions
994,46,they
995,46,were
996,46,during
997,46,the
998,46,war
999,46,last
1000,46,year
1001,46,","
1002,46,which
1003,46,indicates
1004,46,they
1005,46,are
1006,46,the
1007,46,same
1008,46,people
1009,46,.
1010,47,And
1011,47,there
1012,47,is
1013,47,nothing
1014,47,we
1015,47,can
1016,47,do
1017,47,about
1018,47,it
1019,47,really
1020,47,","
1021,47,people
1022,47,who
1023,47,are
1024,47,suggesting
1025,47,that
1026,47,we
1027,47,go
1028,47,out
1029,47,and
1030,47,fight
1031,47,them
1032,47,are
1033,47,living
1034,47,in
1035,47,dream
1036,47,land
1037,47,.
1038,48,Even
1039,48,the
1040,48,IP
1041,48,and
1042,48,ICDC
1043,48,have
1044,48,abandoned
1045,48,the
1046,48,neighbourhood
1047,48,","
1048,48,and
1049,48,those
1050,48,are
1051,48,trained
1052,48,and
1053,48,armed
1054,48,","
1055,48,so
1056,48,do
1057,48,n't
1058,48,expect
1059,48,scared
1060,48,civilians
1061,48,to
1062,48,do
1063,48,anything
1064,48,except
1065,48,to
1066,48,hide
1067,48,inside
1068,48,and
1069,48,pray
1070,48,a
1071,48,helicopter
1072,48,or
1073,48,a
1074,48,tank
1075,48,does
1076,48,n't
1077,48,bomb
1078,48,them
1079,48,","
1080,48,and
1081,48,also
1082,48,how
1083,48,are
1084,48,American
1085,48,soldiers
1086,48,going
1087,48,to
1088,48,distinguish
1089,48,the
1090,48,brave
1091,48,and
1092,48,valiant
1093,48,civilians
1094,48,from
1095,48,the
1096,48,Fedayeen
1097,48,?
1098,49,Everyone
1099,49,is
1100,49,apprehensive
1101,49,","
1102,49,there
1103,49,is
1104,49,some
1105,49,talk
1106,49,that
1107,49,April
1108,49,9th
1109,49,and
1110,49,10th
1111,49,are
1112,49,going
1113,49,to
1114,49,be
1115,49,bloody
1116,49,days
1117,49,.
1118,50,Most
1119,50,people
1120,50,have
1121,50,n't
1122,50,gone
1123,50,to
1124,50,work
1125,50,the
1126,50,last
1127,50,few
1128,50,days
1129,50,","
1130,50,although
1131,50,it
1132,50,seems
1133,50,that
1134,50,the
1135,50,rest
1136,50,of
1137,50,Baghdad
1138,50,is
1139,50,'
1140,50,normal
1141,50,'
1142,50,(
1143,50,if
1144,50,you
1145,50,can
1146,50,define
1147,50,what
1148,50,normal
1149,50,is
1150,50,)
1151,50,.
1152,51,There
1153,51,are
1154,51,rumours
1155,51,about
1156,51,preparations
1157,51,by
1158,51,slum
1159,51,dwellers
1160,51,for
1161,51,another
1162,51,looting
1163,51,spree
1164,51,against
1165,51,banks
1166,51,","
1167,51,governmental
1168,51,and
1169,51,public
1170,51,property
1171,51,similar
1172,51,to
1173,51,the
1174,51,one
1175,51,that
1176,51,took
1177,51,place
1178,51,last
1179,51,April
1180,51,","
1181,51,and
1182,51,I
1183,51,have
1184,51,already
1185,51,overheard
1186,51,youngsters
1187,51,in
1188,51,my
1189,51,neighbourhood
1190,51,joking
1191,51,about
1192,51,it
1193,51,and
1194,51,saying
1195,51,things
1196,51,like
1197,51,""""
1198,51,This
1199,51,time
1200,51,we
1201,51,will
1202,51,be
1203,51,the
1204,51,first
1205,51,to
1206,51,loot
1207,51,","
1208,51,we
1209,51,did
1210,51,n't
1211,51,get
1212,51,anything
1213,51,the
1214,51,last
1215,51,time
1216,51,""""
1217,51,.
1218,52,Mosques
1219,52,are
1220,52,calling
1221,52,for
1222,52,donating
1223,52,blood
1224,52,","
1225,52,food
1226,52,","
1227,52,and
1228,52,medicine
1229,52,for
1230,52,Fallujah
1231,52,","
1232,52,and
1233,52,several
1234,52,convoys
1235,52,have
1236,52,already
1237,52,headed
1238,52,out
1239,52,for
1240,52,Fallujah
1241,52,","
1242,52,most
1243,52,of
1244,52,them
1245,52,returned
1246,52,later
1247,52,though
1248,52,.
1249,53,What
1250,53,irritates
1251,53,me
1252,53,is
1253,53,this
1254,53,sudden
1255,53,false
1256,53,'
1257,53,solidarity
1258,53,'
1259,53,between
1260,53,Sunni
1261,53,and
1262,53,Shi'ite
1263,53,clerics
1264,53,","
1265,53,we
1266,53,all
1267,53,know
1268,53,that
1269,53,they
1270,53,would
1271,53,be
1272,53,glad
1273,53,to
1274,53,get
1275,53,at
1276,53,each
1277,53,others
1278,53,throats
1279,53,when
1280,53,they
1281,53,have
1282,53,the
1283,53,chance
1284,53,","
1285,53,and
1286,53,Shia
1287,53,clerics
1288,53,were
1289,53,describing
1290,53,Fallujan
1291,53,insurgents
1292,53,as
1293,53,'
1294,53,Ba'athists
1295,53,'
1296,53,","
1297,53,'
1298,53,Saddamites
1299,53,'
1300,53,","
1301,53,'
1302,53,Wahhabis
1303,53,'
1304,53,","
1305,53,and
1306,53,'
1307,53,terrorists
1308,53,'
1309,53,just
1310,53,a
1311,53,few
1312,53,days
1313,53,ago
1314,53,.
1315,54,So
1316,54,what
1317,54,happened
1318,54,?
1319,55,I
1320,55,guess
1321,55,it
1322,55,'s
1323,55,just
1324,55,the
1325,55,old
1326,55,new
1327,55,Arab
1328,55,'
1329,55,Me
1330,55,against
1331,55,my
1332,55,brother
1333,55,","
1334,55,me
1335,55,and
1336,55,my
1337,55,brother
1338,55,against
1339,55,my
1340,55,cousin
1341,55,","
1342,55,me
1343,55,and
1344,55,my
1345,55,cousin
1346,55,against
1347,55,my
1348,55,enemy
1349,55,'
1350,55,","
1351,55,or
1352,55,'
1353,55,The
1354,55,enemy
1355,55,of
1356,55,my
1357,55,enemy
1358,55,is
1359,55,my
1360,55,friend
1361,55,'
1362,55,thing
1363,55,going
1364,55,on
1365,55,again
1366,55,.
1367,56,Speaking
1368,56,of
1369,56,Fallujah
1370,56,","
1371,56,we
1372,56,have
1373,56,only
1374,56,Al
1375,56,-
1376,56,Jazeera
1377,56,to
1378,56,rely
1379,56,on
1380,56,for
1381,56,our
1382,56,news
1383,56,from
1384,56,there
1385,56,.
1386,57,They
1387,57,have
1388,57,sent
1389,57,over
1390,57,their
1391,57,top
1392,57,reporter
1393,57,Ahmed
1394,57,Mansour
1395,57,to
1396,57,the
1397,57,town
1398,57,","
1399,57,and
1400,57,he
1401,57,is
1402,57,spouting
1403,57,all
1404,57,kinds
1405,57,of
1406,57,propaganda
1407,57,hourly
1408,57,reminding
1409,57,me
1410,57,of
1411,57,Al
1412,57,-
1413,57,Sahhaf
1414,57,.
1415,58,They
1416,58,are
1417,58,targetting
1418,58,ambulances
1419,58,","
1420,58,""""
1421,58,American
1422,58,snipers
1423,58,are
1424,58,shooting
1425,58,children
1426,58,and
1427,58,pregnant
1428,58,women
1429,58,""""
1430,58,","
1431,58,and
1432,58,""""
1433,58,They
1434,58,are
1435,58,using
1436,58,cluster
1437,58,bombs
1438,58,against
1439,58,civilians
1440,58,""""
1441,58,is
1442,58,all
1443,58,you
1444,58,get
1445,58,to
1446,58,hear
1447,58,from
1448,58,him
1449,58,.
1450,59,He
1451,59,did
1452,59,once
1453,59,make
1454,59,an
1455,59,unforgivable
1456,59,error
1457,59,when
1458,59,he
1459,59,mentioned
1460,59,that
1461,59,Fallujan
1462,59,militants
1463,59,were
1464,59,shooting
1465,59,at
1466,59,the
1467,59,Marines
1468,59,from
1469,59,the
1470,59,roofs
1471,59,of
1472,59,mosques
1473,59,and
1474,59,houses
1475,59,in
1476,59,Hay
1477,59,Al
1478,59,-
1479,59,Golan
1480,59,","
1481,59,but
1482,59,of
1483,59,course
1484,59,that
1485,59,is
1486,59,okay
1487,59,for
1488,59,Al
1489,59,-
1490,59,Jazeera
1491,59,.
1492,60,Someone
1493,60,who
1494,60,called
1495,60,himself
1496,60,Abu
1497,60,Hafs
1498,60,from
1499,60,the
1500,60,Ibn
1501,60,Al
1502,60,-
1503,60,Khattab
1504,60,Brigades
1505,60,(
1506,60,another
1507,60,new
1508,60,group
1509,60,)
1510,60,was
1511,60,on
1512,60,Al
1513,60,-
1514,60,Jazeera
1515,60,describing
1516,60,the
1517,60,enormous
1518,60,casualties
1519,60,among
1520,60,the
1521,60,Marines
1522,60,and
1523,60,he
1524,60,sweared
1525,60,that
1526,60,American
1527,60,soldiers
1528,60,were
1529,60,mutilating
1530,60,the
1531,60,bodies
1532,60,of
1533,60,dead
1534,60,insurgents
1535,60,.
1536,61,Over
1537,61,300
1538,61,Iraqis
1539,61,are
1540,61,reported
1541,61,dead
1542,61,and
1543,61,500
1544,61,wounded
1545,61,in
1546,61,Fallujah
1547,61,alone
1548,61,.
1549,62,Al
1550,62,-
1551,62,Iraqiyah
1552,62,tv
1553,62,said
1554,62,that
1555,62,ICDC
1556,62,were
1557,62,controlling
1558,62,Ramadi
1559,62,.
1560,63,Azzaman
1561,63,newspaper
1562,63,mentioned
1563,63,an
1564,63,announcement
1565,63,signed
1566,63,by
1567,63,Abdul
1568,63,Aziz
1569,63,bin
1570,63,Muqrin
1571,63,","
1572,63,an
1573,63,Al
1574,63,-
1575,63,Qaeda
1576,63,operative
1577,63,in
1578,63,Saudi
1579,63,Arabia
1580,63,on
1581,63,an
1582,63,Islamic
1583,63,website
1584,63,'
1585,63,the
1586,63,voice
1587,63,of
1588,63,Jihad
1589,63,'
1590,63,","
1591,63,in
1592,63,which
1593,63,he
1594,63,stated
1595,63,that
1596,63,""""
1597,63,although
1598,63,mutilating
1599,63,dead
1600,63,bodies
1601,63,is
1602,63,not
1603,63,originally
1604,63,permitted
1605,63,in
1606,63,Islam
1607,63,","
1608,63,but
1609,63,in
1610,63,this
1611,63,case
1612,63,it
1613,63,is
1614,63,allowed
1615,63,if
1616,63,Muslims
1617,63,use
1618,63,it
1619,63,against
1620,63,infidels
1621,63,to
1622,63,deter
1623,63,them
1624,63,from
1625,63,committing
1626,63,criminal
1627,63,actions
1628,63,""""
1629,63,.
1630,64,He
1631,64,added
1632,64,that
1633,64,""""
1634,64,America
1635,64,does
1636,64,not
1637,64,understand
1638,64,anything
1639,64,except
1640,64,the
1641,64,language
1642,64,of
1643,64,force
1644,64,and
1645,64,retaliation
1646,64,","
1647,64,they
1648,64,were
1649,64,kicked
1650,64,out
1651,64,of
1652,64,Somalia
1653,64,in
1654,64,humiliation
1655,64,after
1656,64,that
1657,64,soldier
1658,64,was
1659,64,dragged
1660,64,in
1661,64,Mogadishu
1662,64,for
1663,64,the
1664,64,whole
1665,64,world
1666,64,to
1667,64,see
1668,64,""""
1669,64,","
1670,64,and
1671,64,that
1672,64,""""
1673,64,the
1674,64,day
1675,64,will
1676,64,come
1677,64,when
1678,64,the
1679,64,dead
1680,64,bodies
1681,64,of
1682,64,Americans
1683,64,and
1684,64,Jews
1685,64,would
1686,64,be
1687,64,dragged
1688,64,","
1689,64,defiled
1690,64,","
1691,64,and
1692,64,stepped
1693,64,on
1694,64,in
1695,64,the
1696,64,Arabian
1697,64,peninsula
1698,64,together
1699,64,with
1700,64,their
1701,64,agents
1702,64,and
1703,64,supporters
1704,64,""""
1705,64,.
1706,65,Elena
1707,65,'s
1708,65,motorcycle
1709,65,tour
1710,65,through
1711,65,the
1712,65,region
1713,65,around
1714,65,Chernobyl
1715,65,has
1716,65,revived
1717,65,interest
1718,65,in
1719,65,one
1720,65,of
1721,65,the
1722,65,most
1723,65,serious
1724,65,nuclear
1725,65,disasters
1726,65,in
1727,65,history
1728,65,.
1729,66,We
1730,66,all
1731,66,know
1732,66,what
1733,66,happened
1734,66,","
1735,66,but
1736,66,even
1737,66,to
1738,66,this
1739,66,day
1740,66,","
1741,66,there
1742,66,are
1743,66,many
1744,66,different
1745,66,versions
1746,66,and
1747,66,opinions
1748,66,on
1749,66,how
1750,66,it
1751,66,happened
1752,66,and
1753,66,what
1754,66,effect
1755,66,Chernobyl
1756,66,will
1757,66,have
1758,66,on
1759,66,the
1760,66,health
1761,66,of
1762,66,people
1763,66,affected
1764,66,by
1765,66,the
1766,66,fallout
1767,66,.
1768,67,UPDATE
1769,67,:
1770,68,Now
1771,68,you
1772,68,can
1773,68,tour
1774,68,Chernobyl
1775,68,and
1776,68,write
1777,68,your
1778,68,own
1779,68,story
1780,68,.
1781,69,This
1782,69,is
1783,69,not
1784,69,a
1785,69,post
1786,69,about
1787,69,fault
1788,69,-
1789,69,finding
1790,69,or
1791,69,assigning
1792,69,blame
1793,69,.
1794,70,It
1795,70,is
1796,70,a
1797,70,time
1798,70,to
1799,70,learn
1800,70,what
1801,70,happened
1802,70,and
1803,70,how
1804,70,it
1805,70,may
1806,70,affect
1807,70,the
1808,70,future
1809,70,.
1810,71,There
1811,71,was
1812,71,a
1813,71,soothing
1814,71,authoritative
1815,71,UNSCEAR
1816,71,(
1817,71,United
1818,71,Nations
1819,71,Scientific
1820,71,Committee
1821,71,on
1822,71,the
1823,71,Effects
1824,71,of
1825,71,Atomic
1826,71,Radiation
1827,71,)
1828,71,report
1829,71,in
1830,71,2000
1831,71,on
1832,71,the
1833,71,health
1834,71,effects
1835,71,of
1836,71,Chernobyl
1837,71,confirming
1838,71,that
1839,71,there
1840,71,was
1841,71,no
1842,71,scientific
1843,71,evidence
1844,71,of
1845,71,any
1846,71,significant
1847,71,radiation
1848,71,-
1849,71,related
1850,71,health
1851,71,effects
1852,71,to
1853,71,most
1854,71,people
1855,71,exposed
1856,71,.
1857,72,This
1858,72,was
1859,72,heavily
1860,72,promoted
1861,72,by
1862,72,the
1863,72,Australasian
1864,72,Radiation
1865,72,Protection
1866,72,Society
1867,72,in
1868,72,a
1869,72,press
1870,72,release
1871,72,titled
1872,72,THE
1873,72,MYTHS
1874,72,OF
1875,72,CHERNOBYL
1876,72,which
1877,72,contained
1878,72,the
1879,72,following
1880,72,:
1881,73,One
1882,73,of
1883,73,the
1884,73,most
1885,73,widespread
1886,73,myths
1887,73,of
1888,73,recent
1889,73,times
1890,73,is
1891,73,that
1892,73,the
1893,73,Chernobyl
1894,73,nuclear
1895,73,reactor
1896,73,accident
1897,73,in
1898,73,1986
1899,73,caused
1900,73,many
1901,73,thousands
1902,73,of
1903,73,extra
1904,73,cancer
1905,73,deaths
1906,73,in
1907,73,neighbouring
1908,73,regions
1909,73,","
1910,73,and
1911,73,that
1912,73,public
1913,73,health
1914,73,has
1915,73,been
1916,73,severely
1917,73,affected
1918,73,by
1919,73,exposure
1920,73,to
1921,73,radiation
1922,73,.
1923,74,Many
1924,74,people
1925,74,still
1926,74,believe
1927,74,that
1928,74,to
1929,74,be
1930,74,true
1931,74,","
1932,74,even
1933,74,though
1934,74,the
