,Sentence,tokens
11,"The police commander of Ninevah Province announced that bombings had declined 80 percent in Mosul, whereas there had been a big jump in the number of kidnappings.","['The', 'police', 'commander', 'of', 'Ninevah', 'Province', 'announced', 'that', 'bombings', 'had', 'declined', '80', 'percent', 'in', 'Mosul', ',', 'whereas', 'there', 'had', 'been', 'a', 'big', 'jump', 'in', 'the', 'number', 'of', 'kidnappings', '.']"
12,On Wednesday guerrillas had kidnapped a cosmetic surgeon and his wife while they were on their way home.,"['On', 'Wednesday', 'guerrillas', 'had', 'kidnapped', 'a', 'cosmetic', 'surgeon', 'and', 'his', 'wife', 'while', 'they', 'were', 'on', 'their', 'way', 'home', '.']"
13,"In Suwayrah, Kut Province, two car bombs were discovered before they could be detonated.","['In', 'Suwayrah', ',', 'Kut', 'Province', ',', 'two', 'car', 'bombs', 'were', 'discovered', 'before', 'they', 'could', 'be', 'detonated', '.']"
14,"(Kut is in southeastern Iraq and has an overwhelmingly Shiite population, who are on the lookout for Baathist saboteurs and willingly turn them in.","['(', 'Kut', 'is', 'in', 'southeastern', 'Iraq', 'and', 'has', 'an', 'overwhelmingly', 'Shiite', 'population', ',', 'who', 'are', 'on', 'the', 'lookout', 'for', 'Baathist', 'saboteurs', 'and', 'willingly', 'turn', 'them', 'in', '.']"
15,This willingness is the main difference in the number of bombings in the south as opposed to the center-north of the country.),"['This', 'willingness', 'is', 'the', 'main', 'difference', 'in', 'the', 'number', 'of', 'bombings', 'in', 'the', 'south', 'as', 'opposed', 'to', 'the', 'center', '-', 'north', 'of', 'the', 'country', '.', ')']"
16,"In Baghdad Kadhim Talal Husain, assistant dean at the School of Education at Mustansiriyah University, was assassinated with his driver in the Salikh district.","['In', 'Baghdad', 'Kadhim', 'Talal', 'Husain', ',', 'assistant', 'dean', 'at', 'the', 'School', 'of', 'Education', 'at', 'Mustansiriyah', 'University', ',', 'was', 'assassinated', 'with', 'his', 'driver', 'in', 'the', 'Salikh', 'district', '.']"
17,"Guerrillas killed an engineer, Asi Ali, from Tikrit.","['Guerrillas', 'killed', 'an', 'engineer', ',', 'Asi', 'Ali', ',', 'from', 'Tikrit', '.']"
18,"They also killed Shaikh Hamid 'Akkab, a clan elder of a branch of the Dulaim tribe in Tikrit.","['They', 'also', 'killed', 'Shaikh', 'Hamid', ""'"", 'Akkab', ',', 'a', 'clan', 'elder', 'of', 'a', 'branch', 'of', 'the', 'Dulaim', 'tribe', 'in', 'Tikrit', '.']"
19,His mother was also killed in the attack.,"['His', 'mother', 'was', 'also', 'killed', 'in', 'the', 'attack', '.']"
20,Two other Dulaim leaders have been killed in the past week and a half.,"['Two', 'other', 'Dulaim', 'leaders', 'have', 'been', 'killed', 'in', 'the', 'past', 'week', 'and', 'a', 'half', '.']"
21,"Guerrillas near Hawijah launched an attack that left 6 dead, including 4 Iraqi soldiers.","['Guerrillas', 'near', 'Hawijah', 'launched', 'an', 'attack', 'that', 'left', '6', 'dead', ',', 'including', '4', 'Iraqi', 'soldiers', '.']"
22,One of them was from the Jubur tribe and was deputy commander of the Hawijah garrison.,"['One', 'of', 'them', 'was', 'from', 'the', 'Jubur', 'tribe', 'and', 'was', 'deputy', 'commander', 'of', 'the', 'Hawijah', 'garrison', '.']"
23,"Two hundred members of the Batawi clan of the Dulaim demonstrated in Baghdad on Friday, protesting the killing of their clan elder, Shaikh Kadhim Sarhid and 4 of his sons, by gunmen wearing Iraqi army uniforms.","['Two', 'hundred', 'members', 'of', 'the', 'Batawi', 'clan', 'of', 'the', 'Dulaim', 'demonstrated', 'in', 'Baghdad', 'on', 'Friday', ',', 'protesting', 'the', 'killing', 'of', 'their', 'clan', 'elder', ',', 'Shaikh', 'Kadhim', 'Sarhid', 'and', '4', 'of', 'his', 'sons', ',', 'by', 'gunmen', 'wearing', 'Iraqi', 'army', 'uniforms', '.']"
24,"(This is a largely Sunni Arab clan, and some Sunni observers have accused Shiite elements in the government of being behind the assassination; it is more likely the work of Sunni Arab guerrillas punishing the Batawi leaders for cooperating with the Dec. 15 elections.)","['(', 'This', 'is', 'a', 'largely', 'Sunni', 'Arab', 'clan', ',', 'and', 'some', 'Sunni', 'observers', 'have', 'accused', 'Shiite', 'elements', 'in', 'the', 'government', 'of', 'being', 'behind', 'the', 'assassination', ';', 'it', 'is', 'more', 'likely', 'the', 'work', 'of', 'Sunni', 'Arab', 'guerrillas', 'punishing', 'the', 'Batawi', 'leaders', 'for', 'cooperating', 'with', 'the', 'Dec.', '15', 'elections', '.', ')']"
25,Al-Zaman : The Iraqi High Electoral Commission on Friday denied a request of the Debaathification Commission to exclude 51 individuals from running on party lists in the Dec. 15 elections on grounds of having been sufficiently involved in Baath activities to warrant their being excluded from civil office.,"['Al', '-', 'Zaman', ':', 'The', 'Iraqi', 'High', 'Electoral', 'Commission', 'on', 'Friday', 'denied', 'a', 'request', 'of', 'the', 'Debaathification', 'Commission', 'to', 'exclude', '51', 'individuals', 'from', 'running', 'on', 'party', 'lists', 'in', 'the', 'Dec.', '15', 'elections', 'on', 'grounds', 'of', 'having', 'been', 'sufficiently', 'involved', 'in', 'Baath', 'activities', 'to', 'warrant', 'their', 'being', 'excluded', 'from', 'civil', 'office', '.']"
26,The Commission said it had no legal grounds for such an exclusion.,"['The', 'Commission', 'said', 'it', 'had', 'no', 'legal', 'grounds', 'for', 'such', 'an', 'exclusion', '.']"
27,This item is a small one and easily missed.,"['This', 'item', 'is', 'a', 'small', 'one', 'and', 'easily', 'missed', '.']"
28,But in my view it is highly significant.,"['But', 'in', 'my', 'view', 'it', 'is', 'highly', 'significant', '.']"
29,"The Debaathification Commission had been pushed by Ahmad Chalabi and his Iraqi National Congress very hard, and had pushed many Sunni Arabs into the arms of the guerrillas.","['The', 'Debaathification', 'Commission', 'had', 'been', 'pushed', 'by', 'Ahmad', 'Chalabi', 'and', 'his', 'Iraqi', 'National', 'Congress', 'very', 'hard', ',', 'and', 'had', 'pushed', 'many', 'Sunni', 'Arabs', 'into', 'the', 'arms', 'of', 'the', 'guerrillas', '.']"
30,"Chalabi has been increasingly marginalized within Iraq, however, despite his ties of clientelage with Washington and Tehran.","['Chalabi', 'has', 'been', 'increasingly', 'marginalized', 'within', 'Iraq', ',', 'however', ',', 'despite', 'his', 'ties', 'of', 'clientelage', 'with', 'Washington', 'and', 'Tehran', '.']"
31,"He is no longer in the dominant Shiite list, the United Iraqi Alliance, and won't have many seats in the new parliament.","['He', 'is', 'no', 'longer', 'in', 'the', 'dominant', 'Shiite', 'list', ',', 'the', 'United', 'Iraqi', 'Alliance', ',', 'and', 'wo', ""n't"", 'have', 'many', 'seats', 'in', 'the', 'new', 'parliament', '.']"
32,"Some 2,000 junior officers of the old Baath army have been recalled to duty in recent months, something Chalabi would have blocked if he could have.","['Some', '2,000', 'junior', 'officers', 'of', 'the', 'old', 'Baath', 'army', 'have', 'been', 'recalled', 'to', 'duty', 'in', 'recent', 'months', ',', 'something', 'Chalabi', 'would', 'have', 'blocked', 'if', 'he', 'could', 'have', '.']"
33,Now the Electoral Commission is refusing to punish people for mere past Baath Party membership.,"['Now', 'the', 'Electoral', 'Commission', 'is', 'refusing', 'to', 'punish', 'people', 'for', 'mere', 'past', 'Baath', 'Party', 'membership', '.']"
34,The situation in Iraq is only going to get better this way.,"['The', 'situation', 'in', 'Iraq', 'is', 'only', 'going', 'to', 'get', 'better', 'this', 'way', '.']"
35,"If someone committed a crime against humanity, prosecute the person.","['If', 'someone', 'committed', 'a', 'crime', 'against', 'humanity', ',', 'prosecute', 'the', 'person', '.']"
36,"If he or she did not, then they should have all the same rights as other Iraqis.","['If', 'he', 'or', 'she', 'did', 'not', ',', 'then', 'they', 'should', 'have', 'all', 'the', 'same', 'rights', 'as', 'other', 'Iraqis', '.']"
37,Al-Sharq al-Awsat reports that a key eyewitness in the trial of Saddam Hussein for a 1982 massacre at Dujail has died.,"['Al', '-', 'Sharq', 'al', '-', 'Awsat', 'reports', 'that', 'a', 'key', 'eyewitness', 'in', 'the', 'trial', 'of', 'Saddam', 'Hussein', 'for', 'a', '1982', 'massacre', 'at', 'Dujail', 'has', 'died', '.']"
38,A team from the court managed to take his deposition before he died.,"['A', 'team', 'from', 'the', 'court', 'managed', 'to', 'take', 'his', 'deposition', 'before', 'he', 'died', '.']"
39,The trial begins again Nov.28.,"['The', 'trial', 'begins', 'again', 'Nov.28', '.']"
40,"In Baghdad the fighting still continues in several areas, mostly in Sadr city and Adhamiya.","['In', 'Baghdad', 'the', 'fighting', 'still', 'continues', 'in', 'several', 'areas', ',', 'mostly', 'in', 'Sadr', 'city', 'and', 'Adhamiya', '.']"
41,"Baghdadis don't venture much out of their neighbourhoods any more, you never know where you might get stuck.","['Baghdadis', 'do', ""n't"", 'venture', 'much', 'out', 'of', 'their', 'neighbourhoods', 'any', 'more', ',', 'you', 'never', 'know', 'where', 'you', 'might', 'get', 'stuck', '.']"
42,There has been talk that the night curfew might be implemented again.,"['There', 'has', 'been', 'talk', 'that', 'the', 'night', 'curfew', 'might', 'be', 'implemented', 'again', '.']"
43,"My neighbourhood has been surrounded by American troops for three days now, helicopters have been circling over our heads non-stop.","['My', 'neighbourhood', 'has', 'been', 'surrounded', 'by', 'American', 'troops', 'for', 'three', 'days', 'now', ',', 'helicopters', 'have', 'been', 'circling', 'over', 'our', 'heads', 'non', '-', 'stop', '.']"
44,Fedayeen are now visible on the street and they have become bolder than ever.,"['Fedayeen', 'are', 'now', 'visible', 'on', 'the', 'street', 'and', 'they', 'have', 'become', 'bolder', 'than', 'ever', '.']"
45,"Yesterday there were tens of them putting road blocks on our street and setting up mortars, they only come out in the open when Americans leave the area, then they start firing mortars indiscriminately and shooting their AK-47's in the air.","['Yesterday', 'there', 'were', 'tens', 'of', 'them', 'putting', 'road', 'blocks', 'on', 'our', 'street', 'and', 'setting', 'up', 'mortars', ',', 'they', 'only', 'come', 'out', 'in', 'the', 'open', 'when', 'Americans', 'leave', 'the', 'area', ',', 'then', 'they', 'start', 'firing', 'mortars', 'indiscriminately', 'and', 'shooting', 'their', 'AK-47', ""'s"", 'in', 'the', 'air', '.']"
46,"They are setting the road blocks at the exact same positions they were during the war last year, which indicates they are the same people.","['They', 'are', 'setting', 'the', 'road', 'blocks', 'at', 'the', 'exact', 'same', 'positions', 'they', 'were', 'during', 'the', 'war', 'last', 'year', ',', 'which', 'indicates', 'they', 'are', 'the', 'same', 'people', '.']"
47,"And there is nothing we can do about it really, people who are suggesting that we go out and fight them are living in dream land.","['And', 'there', 'is', 'nothing', 'we', 'can', 'do', 'about', 'it', 'really', ',', 'people', 'who', 'are', 'suggesting', 'that', 'we', 'go', 'out', 'and', 'fight', 'them', 'are', 'living', 'in', 'dream', 'land', '.']"
48,"Even the IP and ICDC have abandoned the neighbourhood, and those are trained and armed, so don't expect scared civilians to do anything except to hide inside and pray a helicopter or a tank doesn't bomb them, and also how are American soldiers going to distinguish the brave and valiant civilians from the Fedayeen?","['Even', 'the', 'IP', 'and', 'ICDC', 'have', 'abandoned', 'the', 'neighbourhood', ',', 'and', 'those', 'are', 'trained', 'and', 'armed', ',', 'so', 'do', ""n't"", 'expect', 'scared', 'civilians', 'to', 'do', 'anything', 'except', 'to', 'hide', 'inside', 'and', 'pray', 'a', 'helicopter', 'or', 'a', 'tank', 'does', ""n't"", 'bomb', 'them', ',', 'and', 'also', 'how', 'are', 'American', 'soldiers', 'going', 'to', 'distinguish', 'the', 'brave', 'and', 'valiant', 'civilians', 'from', 'the', 'Fedayeen', '?']"
49,"Everyone is apprehensive, there is some talk that April 9th and 10th are going to be bloody days.","['Everyone', 'is', 'apprehensive', ',', 'there', 'is', 'some', 'talk', 'that', 'April', '9th', 'and', '10th', 'are', 'going', 'to', 'be', 'bloody', 'days', '.']"
50,"Most people haven't gone to work the last few days, although it seems that the rest of Baghdad is 'normal' (if you can define what normal is).","['Most', 'people', 'have', ""n't"", 'gone', 'to', 'work', 'the', 'last', 'few', 'days', ',', 'although', 'it', 'seems', 'that', 'the', 'rest', 'of', 'Baghdad', 'is', ""'"", 'normal', ""'"", '(', 'if', 'you', 'can', 'define', 'what', 'normal', 'is', ')', '.']"
51,"There are rumours about preparations by slum dwellers for another looting spree against banks, governmental and public property similar to the one that took place last April, and I have already overheard youngsters in my neighbourhood joking about it and saying things like ""This time we will be the first to loot, we didn't get anything the last time"".","['There', 'are', 'rumours', 'about', 'preparations', 'by', 'slum', 'dwellers', 'for', 'another', 'looting', 'spree', 'against', 'banks', ',', 'governmental', 'and', 'public', 'property', 'similar', 'to', 'the', 'one', 'that', 'took', 'place', 'last', 'April', ',', 'and', 'I', 'have', 'already', 'overheard', 'youngsters', 'in', 'my', 'neighbourhood', 'joking', 'about', 'it', 'and', 'saying', 'things', 'like', '""', 'This', 'time', 'we', 'will', 'be', 'the', 'first', 'to', 'loot', ',', 'we', 'did', ""n't"", 'get', 'anything', 'the', 'last', 'time', '""', '.']"
52,"Mosques are calling for donating blood, food, and medicine for Fallujah, and several convoys have already headed out for Fallujah, most of them returned later though.","['Mosques', 'are', 'calling', 'for', 'donating', 'blood', ',', 'food', ',', 'and', 'medicine', 'for', 'Fallujah', ',', 'and', 'several', 'convoys', 'have', 'already', 'headed', 'out', 'for', 'Fallujah', ',', 'most', 'of', 'them', 'returned', 'later', 'though', '.']"
53,"What irritates me is this sudden false 'solidarity' between Sunni and Shi'ite clerics, we all know that they would be glad to get at each others throats when they have the chance, and Shia clerics were describing Fallujan insurgents as 'Ba'athists', 'Saddamites', 'Wahhabis', and 'terrorists' just a few days ago.","['What', 'irritates', 'me', 'is', 'this', 'sudden', 'false', ""'"", 'solidarity', ""'"", 'between', 'Sunni', 'and', ""Shi'ite"", 'clerics', ',', 'we', 'all', 'know', 'that', 'they', 'would', 'be', 'glad', 'to', 'get', 'at', 'each', 'others', 'throats', 'when', 'they', 'have', 'the', 'chance', ',', 'and', 'Shia', 'clerics', 'were', 'describing', 'Fallujan', 'insurgents', 'as', ""'"", ""Ba'athists"", ""'"", ',', ""'"", 'Saddamites', ""'"", ',', ""'"", 'Wahhabis', ""'"", ',', 'and', ""'"", 'terrorists', ""'"", 'just', 'a', 'few', 'days', 'ago', '.']"
54,So what happened?,"['So', 'what', 'happened', '?']"
55,"I guess it's just the old new Arab 'Me against my brother, me and my brother against my cousin, me and my cousin against my enemy', or 'The enemy of my enemy is my friend' thing going on again.","['I', 'guess', 'it', ""'s"", 'just', 'the', 'old', 'new', 'Arab', ""'"", 'Me', 'against', 'my', 'brother', ',', 'me', 'and', 'my', 'brother', 'against', 'my', 'cousin', ',', 'me', 'and', 'my', 'cousin', 'against', 'my', 'enemy', ""'"", ',', 'or', ""'"", 'The', 'enemy', 'of', 'my', 'enemy', 'is', 'my', 'friend', ""'"", 'thing', 'going', 'on', 'again', '.']"
56,"Speaking of Fallujah, we have only Al-Jazeera to rely on for our news from there.","['Speaking', 'of', 'Fallujah', ',', 'we', 'have', 'only', 'Al', '-', 'Jazeera', 'to', 'rely', 'on', 'for', 'our', 'news', 'from', 'there', '.']"
57,"They have sent over their top reporter Ahmed Mansour to the town, and he is spouting all kinds of propaganda hourly reminding me of Al-Sahhaf.","['They', 'have', 'sent', 'over', 'their', 'top', 'reporter', 'Ahmed', 'Mansour', 'to', 'the', 'town', ',', 'and', 'he', 'is', 'spouting', 'all', 'kinds', 'of', 'propaganda', 'hourly', 'reminding', 'me', 'of', 'Al', '-', 'Sahhaf', '.']"
58,"They are targetting ambulances, ""American snipers are shooting children and pregnant women"", and ""They are using cluster bombs against civilians"" is all you get to hear from him.","['They', 'are', 'targetting', 'ambulances', ',', '""', 'American', 'snipers', 'are', 'shooting', 'children', 'and', 'pregnant', 'women', '""', ',', 'and', '""', 'They', 'are', 'using', 'cluster', 'bombs', 'against', 'civilians', '""', 'is', 'all', 'you', 'get', 'to', 'hear', 'from', 'him', '.']"
59,"He did once make an unforgivable error when he mentioned that Fallujan militants were shooting at the Marines from the roofs of mosques and houses in Hay Al-Golan, but of course that is okay for Al-Jazeera.","['He', 'did', 'once', 'make', 'an', 'unforgivable', 'error', 'when', 'he', 'mentioned', 'that', 'Fallujan', 'militants', 'were', 'shooting', 'at', 'the', 'Marines', 'from', 'the', 'roofs', 'of', 'mosques', 'and', 'houses', 'in', 'Hay', 'Al', '-', 'Golan', ',', 'but', 'of', 'course', 'that', 'is', 'okay', 'for', 'Al', '-', 'Jazeera', '.']"
60,Someone who called himself Abu Hafs from the Ibn Al-Khattab Brigades (another new group) was on Al-Jazeera describing the enormous casualties among the Marines and he sweared that American soldiers were mutilating the bodies of dead insurgents.,"['Someone', 'who', 'called', 'himself', 'Abu', 'Hafs', 'from', 'the', 'Ibn', 'Al', '-', 'Khattab', 'Brigades', '(', 'another', 'new', 'group', ')', 'was', 'on', 'Al', '-', 'Jazeera', 'describing', 'the', 'enormous', 'casualties', 'among', 'the', 'Marines', 'and', 'he', 'sweared', 'that', 'American', 'soldiers', 'were', 'mutilating', 'the', 'bodies', 'of', 'dead', 'insurgents', '.']"
61,Over 300 Iraqis are reported dead and 500 wounded in Fallujah alone.,"['Over', '300', 'Iraqis', 'are', 'reported', 'dead', 'and', '500', 'wounded', 'in', 'Fallujah', 'alone', '.']"
62,Al-Iraqiyah tv said that ICDC were controlling Ramadi.,"['Al', '-', 'Iraqiyah', 'tv', 'said', 'that', 'ICDC', 'were', 'controlling', 'Ramadi', '.']"
63,"Azzaman newspaper mentioned an announcement signed by Abdul Aziz bin Muqrin, an Al-Qaeda operative in Saudi Arabia on an Islamic website 'the voice of Jihad', in which he stated that ""although mutilating dead bodies is not originally permitted in Islam, but in this case it is allowed if Muslims use it against infidels to deter them from committing criminal actions"".","['Azzaman', 'newspaper', 'mentioned', 'an', 'announcement', 'signed', 'by', 'Abdul', 'Aziz', 'bin', 'Muqrin', ',', 'an', 'Al', '-', 'Qaeda', 'operative', 'in', 'Saudi', 'Arabia', 'on', 'an', 'Islamic', 'website', ""'"", 'the', 'voice', 'of', 'Jihad', ""'"", ',', 'in', 'which', 'he', 'stated', 'that', '""', 'although', 'mutilating', 'dead', 'bodies', 'is', 'not', 'originally', 'permitted', 'in', 'Islam', ',', 'but', 'in', 'this', 'case', 'it', 'is', 'allowed', 'if', 'Muslims', 'use', 'it', 'against', 'infidels', 'to', 'deter', 'them', 'from', 'committing', 'criminal', 'actions', '""', '.']"
64,"He added that ""America does not understand anything except the language of force and retaliation, they were kicked out of Somalia in humiliation after that soldier was dragged in Mogadishu for the whole world to see"", and that ""the day will come when the dead bodies of Americans and Jews would be dragged, defiled, and stepped on in the Arabian peninsula together with their agents and supporters"".","['He', 'added', 'that', '""', 'America', 'does', 'not', 'understand', 'anything', 'except', 'the', 'language', 'of', 'force', 'and', 'retaliation', ',', 'they', 'were', 'kicked', 'out', 'of', 'Somalia', 'in', 'humiliation', 'after', 'that', 'soldier', 'was', 'dragged', 'in', 'Mogadishu', 'for', 'the', 'whole', 'world', 'to', 'see', '""', ',', 'and', 'that', '""', 'the', 'day', 'will', 'come', 'when', 'the', 'dead', 'bodies', 'of', 'Americans', 'and', 'Jews', 'would', 'be', 'dragged', ',', 'defiled', ',', 'and', 'stepped', 'on', 'in', 'the', 'Arabian', 'peninsula', 'together', 'with', 'their', 'agents', 'and', 'supporters', '""', '.']"
65,Elena's motorcycle tour through the region around Chernobyl has revived interest in one of the most serious nuclear disasters in history.,"['Elena', ""'s"", 'motorcycle', 'tour', 'through', 'the', 'region', 'around', 'Chernobyl', 'has', 'revived', 'interest', 'in', 'one', 'of', 'the', 'most', 'serious', 'nuclear', 'disasters', 'in', 'history', '.']"
66,"We all know what happened, but even to this day, there are many different versions and opinions on how it happened and what effect Chernobyl will have on the health of people affected by the fallout.","['We', 'all', 'know', 'what', 'happened', ',', 'but', 'even', 'to', 'this', 'day', ',', 'there', 'are', 'many', 'different', 'versions', 'and', 'opinions', 'on', 'how', 'it', 'happened', 'and', 'what', 'effect', 'Chernobyl', 'will', 'have', 'on', 'the', 'health', 'of', 'people', 'affected', 'by', 'the', 'fallout', '.']"
67,UPDATE:,"['UPDATE', ':']"
68,Now you can tour Chernobyl and write your own story.,"['Now', 'you', 'can', 'tour', 'Chernobyl', 'and', 'write', 'your', 'own', 'story', '.']"
69,This is not a post about fault-finding or assigning blame.,"['This', 'is', 'not', 'a', 'post', 'about', 'fault', '-', 'finding', 'or', 'assigning', 'blame', '.']"
70,It is a time to learn what happened and how it may affect the future.,"['It', 'is', 'a', 'time', 'to', 'learn', 'what', 'happened', 'and', 'how', 'it', 'may', 'affect', 'the', 'future', '.']"
71,There was a soothing authoritative UNSCEAR (United Nations Scientific Committee on the Effects of Atomic Radiation ) report in 2000 on the health effects of Chernobyl confirming that there was no scientific evidence of any significant radiation-related health effects to most people exposed.,"['There', 'was', 'a', 'soothing', 'authoritative', 'UNSCEAR', '(', 'United', 'Nations', 'Scientific', 'Committee', 'on', 'the', 'Effects', 'of', 'Atomic', 'Radiation', ')', 'report', 'in', '2000', 'on', 'the', 'health', 'effects', 'of', 'Chernobyl', 'confirming', 'that', 'there', 'was', 'no', 'scientific', 'evidence', 'of', 'any', 'significant', 'radiation', '-', 'related', 'health', 'effects', 'to', 'most', 'people', 'exposed', '.']"
72,This was heavily promoted by the Australasian Radiation Protection Society in a press release titled THE MYTHS OF CHERNOBYL which contained the following:,"['This', 'was', 'heavily', 'promoted', 'by', 'the', 'Australasian', 'Radiation', 'Protection', 'Society', 'in', 'a', 'press', 'release', 'titled', 'THE', 'MYTHS', 'OF', 'CHERNOBYL', 'which', 'contained', 'the', 'following', ':']"
73,"One of the most widespread myths of recent times is that the Chernobyl nuclear reactor accident in 1986 caused many thousands of extra cancer deaths in neighbouring regions, and that public health has been severely affected by exposure to radiation.","['One', 'of', 'the', 'most', 'widespread', 'myths', 'of', 'recent', 'times', 'is', 'that', 'the', 'Chernobyl', 'nuclear', 'reactor', 'accident', 'in', '1986', 'caused', 'many', 'thousands', 'of', 'extra', 'cancer', 'deaths', 'in', 'neighbouring', 'regions', ',', 'and', 'that', 'public', 'health', 'has', 'been', 'severely', 'affected', 'by', 'exposure', 'to', 'radiation', '.']"
74,"Many people still believe that to be true, even though the Ministry of Russian Federation on Civil Defence, Emergencies and Elimination of Conseguences of Natural Disasters (EMERCOM of Russia) reported this in 1996:","['Many', 'people', 'still', 'believe', 'that', 'to', 'be', 'true', ',', 'even', 'though', 'the', 'Ministry', 'of', 'Russian', 'Federation', 'on', 'Civil', 'Defence', ',', 'Emergencies', 'and', 'Elimination', 'of', 'Conseguences', 'of', 'Natural', 'Disasters', '(', 'EMERCOM', 'of', 'Russia', ')', 'reported', 'this', 'in', '1996', ':']"
75,CHERNOBYL ACCIDENT: TEN YEARS ON,"['CHERNOBYL', 'ACCIDENT', ':', 'TEN', 'YEARS', 'ON']"
76,"In the last decade, there has been a real and significant increase in childhood and, to a certain extent, adult carcinoma of the thyroid in contaminated regions of the former Soviet Union (Wi940) which should be attributed to the Chernobyl accident until proven otherwise.","['In', 'the', 'last', 'decade', ',', 'there', 'has', 'been', 'a', 'real', 'and', 'significant', 'increase', 'in', 'childhood', 'and', ',', 'to', 'a', 'certain', 'extent', ',', 'adult', 'carcinoma', 'of', 'the', 'thyroid', 'in', 'contaminated', 'regions', 'of', 'the', 'former', 'Soviet', 'Union', '(', 'Wi940', ')', 'which', 'should', 'be', 'attributed', 'to', 'the', 'Chernobyl', 'accident', 'until', 'proven', 'otherwise', '.']"
77,The prestigious IAEA (International Atomic Energy Agency) published an early report on Chernobyl which was based on information from Russian sources and stated that there was no significant health effects.,"['The', 'prestigious', 'IAEA', '(', 'International', 'Atomic', 'Energy', 'Agency', ')', 'published', 'an', 'early', 'report', 'on', 'Chernobyl', 'which', 'was', 'based', 'on', 'information', 'from', 'Russian', 'sources', 'and', 'stated', 'that', 'there', 'was', 'no', 'significant', 'health', 'effects', '.']"
78,"However, in April 2001, the IAEA published Fifteen Years after the Chernobyl Accident - Lessons learned. which contradict the earlier reports.","['However', ',', 'in', 'April', '2001', ',', 'the', 'IAEA', 'published', 'Fifteen', 'Years', 'after', 'the', 'Chernobyl', 'Accident', '-', 'Lessons', 'learned', '.', 'which', 'contradict', 'the', 'earlier', 'reports', '.']"
79,Here are some excerpts:,"['Here', 'are', 'some', 'excerpts', ':']"
